,title,season,ep_index,conditional_entropy
0,I Love Lucy,01,0,0.00011878360090037653
1,I Love Lucy,01,1,9.311354485156403e-05
2,I Love Lucy,01,2,0.0004403654037267904
3,I Love Lucy,01,3,0.0007110059169787426
4,I Love Lucy,01,4,0.0007063403547410856
5,I Love Lucy,01,5,0.0001781834479296801
6,I Love Lucy,01,6,0.002051914477222729
7,I Love Lucy,01,7,0.0007397774528198469
8,I Love Lucy,01,8,0.0037620902243058964
9,I Love Lucy,01,9,0.00011895112444680695
10,I Love Lucy,01,10,0.0004886946416575646
11,I Love Lucy,01,11,0.00016408697429134996
12,I Love Lucy,01,12,0.0
13,I Love Lucy,01,13,0.0007825500408849378
14,I Love Lucy,01,14,0.00038675819188073023
15,I Love Lucy,01,15,0.00018656404964316302
16,I Love Lucy,01,16,0.00047542760066816386
17,I Love Lucy,01,17,0.00010757324784480499
18,I Love Lucy,01,18,0.00011056232108943042
19,I Love Lucy,01,19,0.00028228845054082324
20,I Love Lucy,01,20,0.00038310276599566606
21,I Love Lucy,01,21,0.0002137954435356933
22,I Love Lucy,01,22,0.00027186950566376715
23,I Love Lucy,01,23,0.001967220742997
24,I Love Lucy,01,24,0.0004779886425242329
25,I Love Lucy,01,25,0.00045331301115932883
26,I Love Lucy,02,0,0.0005976431216092543
27,I Love Lucy,02,1,0.0002378526372714256
28,I Love Lucy,02,2,0.0002607144660301093
29,I Love Lucy,02,3,0.0009333735797777297
30,I Love Lucy,02,4,0.0012561514019084716
31,I Love Lucy,02,5,0.0003349471756844802
32,I Love Lucy,02,6,0.000766675766386149
33,I Love Lucy,02,7,0.0007942695714610807
34,I Love Lucy,02,8,0.0010875535825520394
35,I Love Lucy,02,9,0.00032554953057675496
36,I Love Lucy,02,10,0.0008773039948084386
37,I Love Lucy,02,11,0.00043555123139035464
38,I Love Lucy,02,12,0.0009494271257223985
39,I Love Lucy,02,13,0.00031344726912585854
40,I Love Lucy,02,14,0.000610266706355678
41,I Love Lucy,02,15,0.0004270937262167442
42,I Love Lucy,02,16,0.00028515488872957623
43,I Love Lucy,02,17,0.004889134439714809
44,I Love Lucy,02,18,0.0002750255184376765
45,I Love Lucy,02,19,0.005399133517580938
46,I Love Lucy,02,20,0.005965699904204145
47,I Love Lucy,02,21,0.0005662203437387274
48,I Love Lucy,02,22,0.0007961415533782469
49,I Love Lucy,03,0,0.0004067062172276074
50,I Love Lucy,03,1,0.0007097049909396947
51,I Love Lucy,03,2,0.0019244320294922396
52,I Love Lucy,03,3,0.0014407234953853396
53,I Love Lucy,03,4,0.0006524835430450286
54,I Love Lucy,03,5,0.00048251740054628024
55,I Love Lucy,03,6,8.864110664700702e-05
56,I Love Lucy,03,7,0.0005536592648628483
57,I Love Lucy,03,8,0.0003008111893120956
58,I Love Lucy,03,9,0.00037655463294518414
59,I Love Lucy,03,10,0.000523739190817977
60,I Love Lucy,03,11,0.001024702407915109
61,I Love Lucy,03,12,0.0009205640999718569
62,I Love Lucy,03,13,0.001020368540627487
63,I Love Lucy,03,14,0.000344423237592631
64,I Love Lucy,03,15,0.0005252426365044751
65,I Love Lucy,03,16,0.0003415787257284566
66,I Love Lucy,03,17,0.00042755242789994496
67,I Love Lucy,03,18,0.001038356482437155
68,I Love Lucy,03,19,0.0005663871597216945
69,I Love Lucy,03,20,0.0005663871597216945
70,I Love Lucy,03,21,0.0010426953649881681
71,I Love Lucy,04,0,0.0002534585618341711
72,I Love Lucy,04,1,0.0007185485103359999
73,I Love Lucy,04,2,0.0005021066550331788
74,I Love Lucy,04,3,0.000524274303916305
75,I Love Lucy,04,4,0.0005424355533393512
76,I Love Lucy,04,5,0.00045163668195680683
77,I Love Lucy,04,6,0.0006493494731377703
78,I Love Lucy,04,7,0.0
79,I Love Lucy,04,8,9.129972240752485e-05
80,I Love Lucy,04,9,0.00035160398297309704
81,I Love Lucy,04,10,0.00039492427757195577
82,I Love Lucy,04,11,0.0005110298201484177
83,I Love Lucy,04,12,0.000177227366730956
84,I Love Lucy,04,13,0.0006230917814194031
85,I Love Lucy,04,14,0.00044500869624034646
86,I Love Lucy,04,15,0.0009921549467489538
87,I Love Lucy,04,16,0.00018682827152709133
88,I Love Lucy,04,17,0.00023686083348281337
89,I Love Lucy,04,18,0.001116092537753523
90,I Love Lucy,04,19,0.0006661483146235051
91,I Love Lucy,04,20,0.0007116095742002009
92,I Love Lucy,05,0,0.0012496315634696587
93,I Love Lucy,05,1,0.001665026132523358
94,I Love Lucy,05,2,0.0008008874174897459
95,I Love Lucy,05,3,0.0007798379670590925
96,I Love Lucy,05,4,0.00048074763039272534
97,I Love Lucy,05,5,0.0006463033966650735
98,I Love Lucy,05,6,0.0005770689258969407
99,I Love Lucy,05,7,0.0005026702836266159
100,I Love Lucy,05,8,0.0005398578839290939
101,I Love Lucy,05,9,0.0005170122157162273
102,I Love Lucy,05,10,0.00021849131063832688
103,I Love Lucy,05,11,0.00015921909988948698
104,I Love Lucy,05,12,0.00045666877198936043
105,I Love Lucy,05,13,0.0006719251252349893
106,I Love Lucy,05,14,0.0004514183061102564
107,I Love Lucy,05,15,0.0005378565417226918
108,I Love Lucy,05,16,0.0009410878976096367
109,I Love Lucy,06,0,0.0008576207131801915
110,I Love Lucy,06,1,0.0004369570341192566
111,I Love Lucy,06,2,9.18661491726779e-05
112,I Love Lucy,06,3,0.0007002512293601583
113,I Love Lucy,06,4,0.0009248495190033233
114,I Love Lucy,06,5,0.0003530909255512907
115,I Love Lucy,06,6,0.0003104555779902014
116,I Love Lucy,06,7,0.0014036858878164406
117,I Love Lucy,06,8,0.0005983931649903785
118,I Love Lucy,06,9,0.00043080564207121383
119,I Love Lucy,06,10,0.000826169600265271
120,I Love Lucy,06,11,0.00044017407887510327
121,I Love Lucy,06,12,0.0005396332017631454
122,I Love Lucy,06,13,0.0004910038802611387
123,I Love Lucy,06,14,0.00024458230678343874
124,I Love Lucy,06,15,0.0008600719151500931
125,I Love Lucy,06,16,0.0007101439624727885
126,I Love Lucy,06,17,0.001079135561577803
127,Bewitched,01,0,0.0008126117341134406
128,Bewitched,01,1,0.00035429199355117353
129,Bewitched,01,2,0.0006223635986446304
130,Bewitched,01,3,0.0007639230243427738
131,Bewitched,01,4,0.00026353313026134315
132,Bewitched,01,5,0.0006360512554319826
133,Bewitched,01,6,0.0012354910046234403
134,Bewitched,01,7,0.0007934007961115125
135,Bewitched,01,8,0.0
136,Bewitched,01,9,0.0059143065690978654
137,Bewitched,01,10,0.001179051641815572
138,Bewitched,01,11,0.0007924161756606502
139,Bewitched,01,12,0.00018257953249506217
140,Bewitched,01,13,0.0004175709587261901
141,Bewitched,01,14,0.0010197645560849446
142,Bewitched,01,15,0.001473730749392086
143,Bewitched,01,16,0.0013443278866125225
144,Bewitched,01,17,0.00045868503937787603
145,Bewitched,01,18,0.0005363537012442924
