,title,season,ep_index,entropy
0,I Love Lucy,01,0,4.634786188534797
1,I Love Lucy,01,1,4.681658691459836
2,I Love Lucy,01,2,4.662569473764397
3,I Love Lucy,01,3,4.669909053150162
4,I Love Lucy,01,4,4.691181481140301
5,I Love Lucy,01,5,4.675417588458645
6,I Love Lucy,01,6,4.688955319286029
7,I Love Lucy,01,7,4.695061375222088
8,I Love Lucy,01,8,4.687118490491462
9,I Love Lucy,01,9,4.632943758963054
10,I Love Lucy,01,10,4.6634621220909525
11,I Love Lucy,01,11,4.651093105277075
12,I Love Lucy,01,12,4.63965985665644
13,I Love Lucy,01,13,4.6600830129936135
14,I Love Lucy,01,14,4.6803902906413954
15,I Love Lucy,01,15,4.681097973793625
16,I Love Lucy,01,16,4.659384027406851
17,I Love Lucy,01,17,4.671345569529592
18,I Love Lucy,01,18,4.639075233659207
19,I Love Lucy,01,19,4.667954290272638
20,I Love Lucy,01,20,4.6632894719506774
21,I Love Lucy,01,21,4.657182371420702
22,I Love Lucy,01,22,4.657991655833704
23,I Love Lucy,01,23,4.645710884962376
24,I Love Lucy,01,24,4.6247036232486955
25,I Love Lucy,01,25,4.7048526820795376
26,I Love Lucy,02,0,4.629621675838837
27,I Love Lucy,02,1,4.623043441317814
28,I Love Lucy,02,2,4.65778148311886
29,I Love Lucy,02,3,4.679278262480182
30,I Love Lucy,02,4,4.645202712495303
31,I Love Lucy,02,5,4.65777289178946
32,I Love Lucy,02,6,4.654101669797363
33,I Love Lucy,02,7,4.671924945180344
34,I Love Lucy,02,8,4.65820848145659
35,I Love Lucy,02,9,4.673848784888216
36,I Love Lucy,02,10,4.63764329420985
37,I Love Lucy,02,11,4.726977237270759
38,I Love Lucy,02,12,4.667509514510381
39,I Love Lucy,02,13,4.601876558781138
40,I Love Lucy,02,14,4.679035042900736
41,I Love Lucy,02,15,4.6452646658852155
42,I Love Lucy,02,16,4.648872047327271
43,I Love Lucy,02,17,4.657607470600778
44,I Love Lucy,02,18,4.6208490755345615
45,I Love Lucy,02,19,4.607561737819282
46,I Love Lucy,02,20,4.6264617833617585
47,I Love Lucy,02,21,4.659319519971259
48,I Love Lucy,02,22,4.692074303120026
49,I Love Lucy,03,0,4.702145458258047
50,I Love Lucy,03,1,4.691185868718461
51,I Love Lucy,03,2,4.694751682012668
52,I Love Lucy,03,3,4.7577542281569585
53,I Love Lucy,03,4,4.678901723471134
54,I Love Lucy,03,5,4.699313046213676
55,I Love Lucy,03,6,4.700501980682656
56,I Love Lucy,03,7,4.670366450035427
57,I Love Lucy,03,8,4.7303106336008796
58,I Love Lucy,03,9,4.6559174056043355
59,I Love Lucy,03,10,4.746296207067563
60,I Love Lucy,03,11,4.61719529889951
61,I Love Lucy,03,12,4.687265611792699
62,I Love Lucy,03,13,4.6791329589043205
63,I Love Lucy,03,14,4.643342171444929
64,I Love Lucy,03,15,4.680009741905191
65,I Love Lucy,03,16,4.630554650156263
66,I Love Lucy,03,17,4.661701157136687
67,I Love Lucy,03,18,4.64885336937143
68,I Love Lucy,03,19,4.6842330871451905
69,I Love Lucy,03,20,4.6842330871451905
70,I Love Lucy,03,21,4.63651274575969
71,I Love Lucy,04,0,4.686639543067301
72,I Love Lucy,04,1,4.666241547615215
73,I Love Lucy,04,2,4.635982581570227
74,I Love Lucy,04,3,4.642061730378591
75,I Love Lucy,04,4,4.687152218275189
76,I Love Lucy,04,5,4.682138457485103
77,I Love Lucy,04,6,4.655591976383982
78,I Love Lucy,04,7,4.667454929323569
79,I Love Lucy,04,8,4.657668656320239
80,I Love Lucy,04,9,4.6418713324579794
81,I Love Lucy,04,10,4.683492241090309
82,I Love Lucy,04,11,4.703252635432274
83,I Love Lucy,04,12,4.688094972134258
84,I Love Lucy,04,13,4.6552701077437
85,I Love Lucy,04,14,4.655353594180618
86,I Love Lucy,04,15,4.676828266377382
87,I Love Lucy,04,16,4.677739946102084
88,I Love Lucy,04,17,4.6867424690533666
89,I Love Lucy,04,18,4.6510698188295745
90,I Love Lucy,04,19,4.689778088649171
91,I Love Lucy,04,20,4.632170611856866
92,I Love Lucy,05,0,4.690628376199758
93,I Love Lucy,05,1,4.675426460452358
94,I Love Lucy,05,2,4.665154779421782
95,I Love Lucy,05,3,4.701016088382965
96,I Love Lucy,05,4,4.674351419139524
97,I Love Lucy,05,5,4.668150799619214
98,I Love Lucy,05,6,4.692813437702617
99,I Love Lucy,05,7,4.64969468166191
100,I Love Lucy,05,8,4.737926610561438
101,I Love Lucy,05,9,4.677179823327242
102,I Love Lucy,05,10,4.6738898224079986
103,I Love Lucy,05,11,4.65407936451579
104,I Love Lucy,05,12,4.757486773750711
105,I Love Lucy,05,13,4.70649606169407
106,I Love Lucy,05,14,4.691083554188826
107,I Love Lucy,05,15,4.653678183364327
108,I Love Lucy,05,16,4.656184779359253
109,I Love Lucy,06,0,4.635453395812238
110,I Love Lucy,06,1,4.639250951474568
111,I Love Lucy,06,2,4.664939186812087
112,I Love Lucy,06,3,4.682103027616146
113,I Love Lucy,06,4,4.646588012556439
114,I Love Lucy,06,5,4.681013817741231
115,I Love Lucy,06,6,4.650278377959878
116,I Love Lucy,06,7,4.677737441688399
117,I Love Lucy,06,8,4.663685959762046
118,I Love Lucy,06,9,4.591451405203904
119,I Love Lucy,06,10,4.610184873619029
120,I Love Lucy,06,11,4.623245553179117
121,I Love Lucy,06,12,4.63852532393623
122,I Love Lucy,06,13,4.624241440321408
123,I Love Lucy,06,14,4.634886779262419
124,I Love Lucy,06,15,4.629334556614252
125,I Love Lucy,06,16,4.665441276627602
126,I Love Lucy,06,17,4.630966198235836
127,Bewitched,01,0,4.618110176357056
128,Bewitched,01,1,4.605855093949568
129,Bewitched,01,2,4.646593595478549
130,Bewitched,01,3,4.62679549004027
131,Bewitched,01,4,4.6177821375600425
132,Bewitched,01,5,4.643529590145493
133,Bewitched,01,6,4.613560753180777
134,Bewitched,01,7,4.620781615690986
135,Bewitched,01,8,4.63765713482825
136,Bewitched,01,9,4.661718397401632
137,Bewitched,01,10,4.645934095931001
138,Bewitched,01,11,4.646164381393292
139,Bewitched,01,12,4.640308826362533
140,Bewitched,01,13,4.611722519063899
141,Bewitched,01,14,4.682061041075136
142,Bewitched,01,15,4.618779585704837
143,Bewitched,01,16,4.644364311810559
144,Bewitched,01,17,4.637035505638123
145,Bewitched,01,18,4.602766162078465
146,Bewitched,01,19,4.642990976796366
147,Bewitched,01,20,4.648664125667197
148,Bewitched,01,21,4.641574130766123
149,Bewitched,01,22,4.656657894782656
150,Bewitched,01,23,4.665412529790958
151,Bewitched,01,24,4.673319529703575
152,Bewitched,01,25,4.646891995181527
153,Bewitched,01,26,4.6332299898585925
154,Bewitched,01,27,4.5991686233772615
155,Bewitched,01,28,4.66629216077367
156,Bewitched,01,29,4.652169009452095
157,Bewitched,01,30,4.615752480871313
158,Bewitched,01,31,4.663206691140259
159,Bewitched,01,32,4.669067193657932
160,Bewitched,01,33,4.595041255346857
161,Bewitched,01,34,4.679872821508906
162,Bewitched,01,35,4.62430711519122
163,Bewitched,02,0,4.673916449603463
164,Bewitched,02,1,4.62824088627398
165,Bewitched,02,2,4.630605008588909
166,Bewitched,02,3,4.698333970563585
167,Bewitched,02,4,4.670121392092527
168,Bewitched,02,5,4.635533355699368
169,Bewitched,02,6,4.657287870524363
170,Bewitched,02,7,4.637665885981432
171,Bewitched,02,8,4.655525673094449
172,Bewitched,02,9,4.631014773403524
173,Bewitched,02,10,4.665754194646181
174,Bewitched,02,11,4.6656383422634224
175,Bewitched,02,12,4.618910444454817
176,Bewitched,02,13,4.613139569560173
177,Bewitched,02,14,4.6790742369040865
178,Bewitched,02,15,4.662519657098016
179,Bewitched,02,16,4.661472815853834
180,Bewitched,02,17,4.6345882850063065
181,Bewitched,02,18,4.673266509852471
182,Bewitched,02,19,4.610550530969941
