,title,season,episode,url,seid
0,The Fresh Prince of Bel-Air,01,01,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e01,s01e01
1,The Fresh Prince of Bel-Air,01,02,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e02,s01e02
2,The Fresh Prince of Bel-Air,01,03,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e03,s01e03
3,The Fresh Prince of Bel-Air,01,04,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e04,s01e04
4,The Fresh Prince of Bel-Air,01,05,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e05,s01e05
5,The Fresh Prince of Bel-Air,01,06,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e06,s01e06
6,The Fresh Prince of Bel-Air,01,07,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e07,s01e07
7,The Fresh Prince of Bel-Air,01,08,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e08,s01e08
8,The Fresh Prince of Bel-Air,01,09,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e09,s01e09
9,The Fresh Prince of Bel-Air,01,10,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e10,s01e10
10,The Fresh Prince of Bel-Air,01,11,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e11,s01e11
11,The Fresh Prince of Bel-Air,01,12,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e12,s01e12
12,The Fresh Prince of Bel-Air,01,13,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e13,s01e13
13,The Fresh Prince of Bel-Air,01,14,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e14,s01e14
14,The Fresh Prince of Bel-Air,01,15,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e15,s01e15
15,The Fresh Prince of Bel-Air,01,16,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e16,s01e16
16,The Fresh Prince of Bel-Air,01,17,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e17,s01e17
17,The Fresh Prince of Bel-Air,01,18,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e18,s01e18
18,The Fresh Prince of Bel-Air,01,19,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e19,s01e19
19,The Fresh Prince of Bel-Air,01,20,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e20,s01e20
20,The Fresh Prince of Bel-Air,01,21,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e21,s01e21
21,The Fresh Prince of Bel-Air,01,22,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e22,s01e22
22,The Fresh Prince of Bel-Air,01,23,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e23,s01e23
23,The Fresh Prince of Bel-Air,01,24,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e24,s01e24
24,The Fresh Prince of Bel-Air,01,25,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s01e25,s01e25
25,The Fresh Prince of Bel-Air,02,01,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e01,s02e01
26,The Fresh Prince of Bel-Air,02,02,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e02,s02e02
27,The Fresh Prince of Bel-Air,02,03,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e03,s02e03
28,The Fresh Prince of Bel-Air,02,04,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e04,s02e04
29,The Fresh Prince of Bel-Air,02,05,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e05,s02e05
30,The Fresh Prince of Bel-Air,02,06,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e06,s02e06
31,The Fresh Prince of Bel-Air,02,07,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e07,s02e07
32,The Fresh Prince of Bel-Air,02,08,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e08,s02e08
33,The Fresh Prince of Bel-Air,02,09,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e09,s02e09
34,The Fresh Prince of Bel-Air,02,10,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e10,s02e10
35,The Fresh Prince of Bel-Air,02,11,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e11,s02e11
36,The Fresh Prince of Bel-Air,02,12,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e12,s02e12
37,The Fresh Prince of Bel-Air,02,13,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e13,s02e13
38,The Fresh Prince of Bel-Air,02,14,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e14,s02e14
39,The Fresh Prince of Bel-Air,02,15,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e15,s02e15
40,The Fresh Prince of Bel-Air,02,16,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e16,s02e16
41,The Fresh Prince of Bel-Air,02,17,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e17,s02e17
42,The Fresh Prince of Bel-Air,02,18,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e18,s02e18
43,The Fresh Prince of Bel-Air,02,19,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e19,s02e19
44,The Fresh Prince of Bel-Air,02,20,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s02e20,s02e20
