,title,season,episode,url,seid
0,Cheers,01,01,view_episode_scripts.php?tv-show=cheers&episode=s01e01,s01e01
1,Cheers,01,02,view_episode_scripts.php?tv-show=cheers&episode=s01e02,s01e02
2,Cheers,01,03,view_episode_scripts.php?tv-show=cheers&episode=s01e03,s01e03
3,Cheers,01,04,view_episode_scripts.php?tv-show=cheers&episode=s01e04,s01e04
4,Cheers,01,05,view_episode_scripts.php?tv-show=cheers&episode=s01e05,s01e05
5,Cheers,01,06,view_episode_scripts.php?tv-show=cheers&episode=s01e06,s01e06
6,Cheers,01,07,view_episode_scripts.php?tv-show=cheers&episode=s01e07,s01e07
7,Cheers,01,08,view_episode_scripts.php?tv-show=cheers&episode=s01e08,s01e08
8,Cheers,01,09,view_episode_scripts.php?tv-show=cheers&episode=s01e09,s01e09
9,Cheers,01,10,view_episode_scripts.php?tv-show=cheers&episode=s01e10,s01e10
10,Cheers,01,11,view_episode_scripts.php?tv-show=cheers&episode=s01e11,s01e11
11,Cheers,01,12,view_episode_scripts.php?tv-show=cheers&episode=s01e12,s01e12
12,Cheers,01,13,view_episode_scripts.php?tv-show=cheers&episode=s01e13,s01e13
13,Cheers,01,14,view_episode_scripts.php?tv-show=cheers&episode=s01e14,s01e14
14,Cheers,01,15,view_episode_scripts.php?tv-show=cheers&episode=s01e15,s01e15
15,Cheers,01,16,view_episode_scripts.php?tv-show=cheers&episode=s01e16,s01e16
16,Cheers,01,17,view_episode_scripts.php?tv-show=cheers&episode=s01e17,s01e17
17,Cheers,01,18,view_episode_scripts.php?tv-show=cheers&episode=s01e18,s01e18
18,Cheers,01,19,view_episode_scripts.php?tv-show=cheers&episode=s01e19,s01e19
19,Cheers,01,20,view_episode_scripts.php?tv-show=cheers&episode=s01e20,s01e20
20,Cheers,01,21,view_episode_scripts.php?tv-show=cheers&episode=s01e21,s01e21
21,Cheers,01,22,view_episode_scripts.php?tv-show=cheers&episode=s01e22,s01e22
22,Cheers,02,01,view_episode_scripts.php?tv-show=cheers&episode=s02e01,s02e01
23,Cheers,02,02,view_episode_scripts.php?tv-show=cheers&episode=s02e02,s02e02
24,Cheers,02,03,view_episode_scripts.php?tv-show=cheers&episode=s02e03,s02e03
25,Cheers,02,04,view_episode_scripts.php?tv-show=cheers&episode=s02e04,s02e04
26,Cheers,02,05,view_episode_scripts.php?tv-show=cheers&episode=s02e05,s02e05
27,Cheers,02,06,view_episode_scripts.php?tv-show=cheers&episode=s02e06,s02e06
28,Cheers,02,07,view_episode_scripts.php?tv-show=cheers&episode=s02e07,s02e07
29,Cheers,02,08,view_episode_scripts.php?tv-show=cheers&episode=s02e08,s02e08
30,Cheers,02,09,view_episode_scripts.php?tv-show=cheers&episode=s02e09,s02e09
31,Cheers,02,10,view_episode_scripts.php?tv-show=cheers&episode=s02e10,s02e10
32,Cheers,02,11,view_episode_scripts.php?tv-show=cheers&episode=s02e11,s02e11
33,Cheers,02,12,view_episode_scripts.php?tv-show=cheers&episode=s02e12,s02e12
34,Cheers,02,13,view_episode_scripts.php?tv-show=cheers&episode=s02e13,s02e13
35,Cheers,02,14,view_episode_scripts.php?tv-show=cheers&episode=s02e14,s02e14
36,Cheers,02,15,view_episode_scripts.php?tv-show=cheers&episode=s02e15,s02e15
37,Cheers,02,16,view_episode_scripts.php?tv-show=cheers&episode=s02e16,s02e16
38,Cheers,02,17,view_episode_scripts.php?tv-show=cheers&episode=s02e17,s02e17
39,Cheers,02,18,view_episode_scripts.php?tv-show=cheers&episode=s02e18,s02e18
